Id:  5049  -  Nome:  Abdon Batista  -  Estado:  SC, País:  BR  
Id:  5050  -  Nome:  Abelardo Luz  -  Estado:  SC, País:  BR  
Id:  5051  -  Nome:  Agrolândia  -  Estado:  SC, País:  BR  
Id:  5052  -  Nome:  Agronômica  -  Estado:  SC, País:  BR  
Id:  5053  -  Nome:  Água Doce  -  Estado:  SC, País:  BR  
Id:  5054  -  Nome:  Águas Brancas  -  Estado:  SC, País:  BR  
Id:  5055  -  Nome:  Águas de Chapecó  -  Estado:  SC, País:  BR  
Id:  5056  -  Nome:  Águas Frias  -  Estado:  SC, País:  BR  
Id:  5057  -  Nome:  Águas Mornas  -  Estado:  SC, País:  BR  
Id:  5058  -  Nome:  Alfredo Wagner  -  Estado:  SC, País:  BR  
Id:  5059  -  Nome:  Alto Bela Vista  -  Estado:  SC, País:  BR  
Id:  5060  -  Nome:  Anchieta  -  Estado:  SC, País:  BR  
Id:  5061  -  Nome:  Angelina  -  Estado:  SC, País:  BR  
Id:  5062  -  Nome:  Anita Garibaldi  -  Estado:  SC, País:  BR  
Id:  5063  -  Nome:  Anitápolis  -  Estado:  SC, País:  BR  
Id:  5064  -  Nome:  Anta Gorda  -  Estado:  SC, País:  BR  
Id:  5065  -  Nome:  Antônio Carlos  -  Estado:  SC, País:  BR  
Id:  5066  -  Nome:  Apiúna  -  Estado:  SC, País:  BR  
Id:  5067  -  Nome:  Arabutã  -  Estado:  SC, País:  BR  
Id:  5068  -  Nome:  Araquari  -  Estado:  SC, País:  BR  
Id:  5069  -  Nome:  Araranguá  -  Estado:  SC, País:  BR  
Id:  5070  -  Nome:  Armazém  -  Estado:  SC, País:  BR  
Id:  5071  -  Nome:  Arroio Trinta  -  Estado:  SC, País:  BR  
Id:  5072  -  Nome:  Arvoredo  -  Estado:  SC, País:  BR  
Id:  5073  -  Nome:  Ascurra  -  Estado:  SC, País:  BR  
Id:  5074  -  Nome:  Atalanta  -  Estado:  SC, País:  BR  
Id:  5075  -  Nome:  Aurora  -  Estado:  SC, País:  BR  
Id:  5076  -  Nome:  Balneário Arroio do Silva  -  Estado:  SC, País:  BR  
Id:  5077  -  Nome:  Balneário Barra do Sul  -  Estado:  SC, País:  BR  
Id:  5078  -  Nome:  Balneário Camboriú  -  Estado:  SC, País:  BR  
Id:  5080  -  Nome:  Balneário Gaivota  -  Estado:  SC, País:  BR  
Id:  4769  -  Nome:  Balneário Piçarras  -  Estado:  SC, País:  BR  
Id:  5081  -  Nome:  Bandeirante  -  Estado:  SC, País:  BR  
Id:  5082  -  Nome:  Barra Bonita  -  Estado:  SC, País:  BR  
Id:  5083  -  Nome:  Barra do Ibiraquera  -  Estado:  SC, País:  BR  
Id:  5084  -  Nome:  Barra do Saí  -  Estado:  SC, País:  BR  
Id:  5085  -  Nome:  Barra Velha  -  Estado:  SC, País:  BR  
Id:  5086  -  Nome:  Bela Vista do Toldo  -  Estado:  SC, País:  BR  
Id:  5087  -  Nome:  Belmonte  -  Estado:  SC, País:  BR  
Id:  5088  -  Nome:  Benedito Novo  -  Estado:  SC, País:  BR  
Id:  5089  -  Nome:  Biguaçu  -  Estado:  SC, País:  BR  
Id:  5090  -  Nome:  Blumenau  -  Estado:  SC, País:  BR  
Id:  5091  -  Nome:  Bocaina do Sul  -  Estado:  SC, País:  BR  
Id:  5092  -  Nome:  Bombinhas  -  Estado:  SC, País:  BR  
Id:  5093  -  Nome:  Bom Jardim da Serra  -  Estado:  SC, País:  BR  
Id:  5095  -  Nome:  Bom Jesus  -  Estado:  SC, País:  BR  
Id:  5094  -  Nome:  Bom Jesus do Oeste  -  Estado:  SC, País:  BR  
Id:  5096  -  Nome:  Bom Retiro  -  Estado:  SC, País:  BR  
Id:  5097  -  Nome:  Bom Sucesso  -  Estado:  SC, País:  BR  
Id:  5098  -  Nome:  Botuverá  -  Estado:  SC, País:  BR  
Id:  5099  -  Nome:  Braço do Norte  -  Estado:  SC, País:  BR  
Id:  5100  -  Nome:  Braço do Trombudo  -  Estado:  SC, País:  BR  
Id:  5101  -  Nome:  Brunópolis  -  Estado:  SC, País:  BR  
Id:  5102  -  Nome:  Brusque  -  Estado:  SC, País:  BR  
Id:  5103  -  Nome:  Caçador  -  Estado:  SC, País:  BR  
Id:  5104  -  Nome:  Caibi  -  Estado:  SC, País:  BR  
Id:  5105  -  Nome:  Calmon  -  Estado:  SC, País:  BR  
Id:  5106  -  Nome:  Camboriú  -  Estado:  SC, País:  BR  
Id:  5107  -  Nome:  Campina da Alegria  -  Estado:  SC, País:  BR  
Id:  5108  -  Nome:  Campo Alegre  -  Estado:  SC, País:  BR  
Id:  5109  -  Nome:  Campo Belo do Sul  -  Estado:  SC, País:  BR  
Id:  5110  -  Nome:  Campo Erê  -  Estado:  SC, País:  BR  
Id:  5111  -  Nome:  Campos Novos  -  Estado:  SC, País:  BR  
Id:  5112  -  Nome:  Canelinha  -  Estado:  SC, País:  BR  
Id:  5113  -  Nome:  Canoinhas  -  Estado:  SC, País:  BR  
Id:  5114  -  Nome:  Capão Alto  -  Estado:  SC, País:  BR  
Id:  5115  -  Nome:  Capinzal  -  Estado:  SC, País:  BR  
Id:  5116  -  Nome:  Capivari de Baixo  -  Estado:  SC, País:  BR  
Id:  5117  -  Nome:  Catanduvas  -  Estado:  SC, País:  BR  
Id:  5118  -  Nome:  Caxambu do Sul  -  Estado:  SC, País:  BR  
Id:  5119  -  Nome:  Celso Ramos  -  Estado:  SC, País:  BR  
Id:  4888  -  Nome:  Cerro Negro  -  Estado:  SC, País:  BR  
Id:  4889  -  Nome:  Chapadão do Lageado  -  Estado:  SC, País:  BR  
Id:  4890  -  Nome:  Chapecó  -  Estado:  SC, País:  BR  
Id:  4891  -  Nome:  Cocal do Sul  -  Estado:  SC, País:  BR  
Id:  4892  -  Nome:  Concórdia  -  Estado:  SC, País:  BR  
Id:  4893  -  Nome:  Cordilheira Alta  -  Estado:  SC, País:  BR  
Id:  4894  -  Nome:  Coronel Freitas  -  Estado:  SC, País:  BR  
Id:  4895  -  Nome:  Coronel Martins  -  Estado:  SC, País:  BR  
Id:  4896  -  Nome:  Correia Pinto  -  Estado:  SC, País:  BR  
Id:  4897  -  Nome:  Corupá  -  Estado:  SC, País:  BR  
Id:  4898  -  Nome:  Criciúma  -  Estado:  SC, País:  BR  
Id:  4899  -  Nome:  Cunha Porã  -  Estado:  SC, País:  BR  
Id:  4900  -  Nome:  Cunhataí  -  Estado:  SC, País:  BR  
Id:  4901  -  Nome:  Curitibanos  -  Estado:  SC, País:  BR  
